2025-07-11 14:23:22,352 - INFO - Train: [43/200][2/2]	eta 0:00:09	loss 0.0413	
2025-07-11 14:23:22,388 - INFO - Train: [44/200][1/2]	eta 0:00:09	loss 0.0550	
2025-07-11 14:23:22,414 - INFO - Train: [44/200][2/2]	eta 0:00:09	loss 0.0580	
2025-07-11 14:23:22,457 - INFO - Train: [45/200][1/2]	eta 0:00:09	loss 0.0391	
2025-07-11 14:23:22,493 - INFO - Train: [45/200][2/2]	eta 0:00:09	loss 0.0255	
2025-07-11 14:23:22,532 - INFO - Train: [46/200][1/2]	eta 0:00:09	loss 0.0577	
2025-07-11 14:23:22,558 - INFO - Train: [46/200][2/2]	eta 0:00:09	loss 0.0132	
2025-07-11 14:23:22,594 - INFO - Train: [47/200][1/2]	eta 0:00:09	loss 0.0412	
2025-07-11 14:23:22,619 - INFO - Train: [47/200][2/2]	eta 0:00:09	loss 0.2077	
2025-07-11 14:23:22,656 - INFO - Train: [48/200][1/2]	eta 0:00:09	loss 0.0442	
2025-07-11 14:23:22,681 - INFO - Train: [48/200][2/2]	eta 0:00:09	loss 0.0398	
2025-07-11 14:23:22,718 - INFO - Train: [49/200][1/2]	eta 0:00:09	loss 0.0530	
2025-07-11 14:23:22,744 - INFO - Train: [49/200][2/2]	eta 0:00:09	loss 0.0123	
2025-07-11 14:23:22,780 - INFO - Train: [50/200][1/2]	eta 0:00:09	loss 0.0563	
2025-07-11 14:23:22,804 - INFO - Train: [50/200][2/2]	eta 0:00:09	loss 0.0939	
2025-07-11 14:23:22,840 - INFO - Train: [51/200][1/2]	eta 0:00:09	loss 0.0566	
2025-07-11 14:23:22,864 - INFO - Train: [51/200][2/2]	eta 0:00:09	loss 0.0284	
2025-07-11 14:23:22,898 - INFO - Train: [52/200][1/2]	eta 0:00:09	loss 0.0526	
2025-07-11 14:23:22,923 - INFO - Train: [52/200][2/2]	eta 0:00:09	loss 0.0421	
2025-07-11 14:23:22,957 - INFO - Train: [53/200][1/2]	eta 0:00:09	loss 0.0394	
2025-07-11 14:23:22,981 - INFO - Train: [53/200][2/2]	eta 0:00:09	loss 0.0424	
2025-07-11 14:23:23,017 - INFO - Train: [54/200][1/2]	eta 0:00:09	loss 0.0414	
2025-07-11 14:23:23,042 - INFO - Train: [54/200][2/2]	eta 0:00:09	loss 0.0425	
2025-07-11 14:23:23,079 - INFO - Train: [55/200][1/2]	eta 0:00:09	loss 0.0593	
2025-07-11 14:23:23,106 - INFO - Train: [55/200][2/2]	eta 0:00:09	loss 0.0006	
2025-07-11 14:23:23,158 - INFO - Train: [56/200][1/2]	eta 0:00:09	loss 0.0608	
2025-07-11 14:23:23,184 - INFO - Train: [56/200][2/2]	eta 0:00:09	loss 0.0328	
2025-07-11 14:23:23,218 - INFO - Train: [57/200][1/2]	eta 0:00:09	loss 0.0492	
2025-07-11 14:23:23,241 - INFO - Train: [57/200][2/2]	eta 0:00:09	loss 0.2210	
2025-07-11 14:23:23,273 - INFO - Train: [58/200][1/2]	eta 0:00:09	loss 0.0490	
2025-07-11 14:23:23,295 - INFO - Train: [58/200][2/2]	eta 0:00:08	loss 0.0088	
2025-07-11 14:23:23,321 - INFO - Train: [59/200][1/2]	eta 0:00:08	loss 0.0555	
2025-07-11 14:23:23,339 - INFO - Train: [59/200][2/2]	eta 0:00:08	loss 0.0014	
2025-07-11 14:23:23,367 - INFO - Train: [60/200][1/2]	eta 0:00:08	loss 0.0456	
2025-07-11 14:23:23,388 - INFO - Train: [60/200][2/2]	eta 0:00:08	loss 0.0044	
2025-07-11 14:23:23,416 - INFO - Train: [61/200][1/2]	eta 0:00:08	loss 0.0484	
