2025-07-11 14:21:26,854 - INFO - Train: [49/200][2/2]	eta 0:00:04	loss 0.0838	
2025-07-11 14:21:26,866 - INFO - Train: [50/200][1/2]	eta 0:00:04	loss 0.0395	
2025-07-11 14:21:26,873 - INFO - Train: [50/200][2/2]	eta 0:00:04	loss 0.0208	
2025-07-11 14:21:26,885 - INFO - Train: [51/200][1/2]	eta 0:00:04	loss 0.0383	
2025-07-11 14:21:26,893 - INFO - Train: [51/200][2/2]	eta 0:00:04	loss 0.0194	
2025-07-11 14:21:26,905 - INFO - Train: [52/200][1/2]	eta 0:00:04	loss 0.0361	
2025-07-11 14:21:26,913 - INFO - Train: [52/200][2/2]	eta 0:00:04	loss 0.0458	
2025-07-11 14:21:26,925 - INFO - Train: [53/200][1/2]	eta 0:00:04	loss 0.0366	
2025-07-11 14:21:26,932 - INFO - Train: [53/200][2/2]	eta 0:00:04	loss 0.0093	
2025-07-11 14:21:26,945 - INFO - Train: [54/200][1/2]	eta 0:00:04	loss 0.0366	
2025-07-11 14:21:26,952 - INFO - Train: [54/200][2/2]	eta 0:00:04	loss 0.0156	
2025-07-11 14:21:26,964 - INFO - Train: [55/200][1/2]	eta 0:00:04	loss 0.0371	
2025-07-11 14:21:26,972 - INFO - Train: [55/200][2/2]	eta 0:00:04	loss 0.0232	
2025-07-11 14:21:26,984 - INFO - Train: [56/200][1/2]	eta 0:00:04	loss 0.0376	
2025-07-11 14:21:26,991 - INFO - Train: [56/200][2/2]	eta 0:00:04	loss 0.0103	
2025-07-11 14:21:27,003 - INFO - Train: [57/200][1/2]	eta 0:00:04	loss 0.0332	
2025-07-11 14:21:27,011 - INFO - Train: [57/200][2/2]	eta 0:00:04	loss 0.1337	
2025-07-11 14:21:27,023 - INFO - Train: [58/200][1/2]	eta 0:00:04	loss 0.0368	
2025-07-11 14:21:27,031 - INFO - Train: [58/200][2/2]	eta 0:00:04	loss 0.0077	
2025-07-11 14:21:27,043 - INFO - Train: [59/200][1/2]	eta 0:00:04	loss 0.0364	
2025-07-11 14:21:27,050 - INFO - Train: [59/200][2/2]	eta 0:00:04	loss 0.0337	
2025-07-11 14:21:27,063 - INFO - Train: [60/200][1/2]	eta 0:00:04	loss 0.0363	
2025-07-11 14:21:27,071 - INFO - Train: [60/200][2/2]	eta 0:00:04	loss 0.0375	
2025-07-11 14:21:27,083 - INFO - Train: [61/200][1/2]	eta 0:00:04	loss 0.0367	
2025-07-11 14:21:27,091 - INFO - Train: [61/200][2/2]	eta 0:00:03	loss 0.0069	
2025-07-11 14:21:27,104 - INFO - Train: [62/200][1/2]	eta 0:00:03	loss 0.0368	
2025-07-11 14:21:27,111 - INFO - Train: [62/200][2/2]	eta 0:00:03	loss 0.0015	
2025-07-11 14:21:27,124 - INFO - Train: [63/200][1/2]	eta 0:00:03	loss 0.0365	
2025-07-11 14:21:27,131 - INFO - Train: [63/200][2/2]	eta 0:00:03	loss 0.0306	
2025-07-11 14:21:27,143 - INFO - Train: [64/200][1/2]	eta 0:00:03	loss 0.0345	
2025-07-11 14:21:27,150 - INFO - Train: [64/200][2/2]	eta 0:00:03	loss 0.0946	
2025-07-11 14:21:27,162 - INFO - Train: [65/200][1/2]	eta 0:00:03	loss 0.0364	
2025-07-11 14:21:27,170 - INFO - Train: [65/200][2/2]	eta 0:00:03	loss 0.0197	
2025-07-11 14:21:27,182 - INFO - Train: [66/200][1/2]	eta 0:00:03	loss 0.0363	
2025-07-11 14:21:27,190 - INFO - Train: [66/200][2/2]	eta 0:00:03	loss 0.0226	
2025-07-11 14:21:27,203 - INFO - Train: [67/200][1/2]	eta 0:00:03	loss 0.0341	
2025-07-11 14:21:27,211 - INFO - Train: [67/200][2/2]	eta 0:00:03	loss 0.1011	
2025-07-11 14:21:27,223 - INFO - Train: [68/200][1/2]	eta 0:00:03	loss 0.0363	
2025-07-11 14:21:27,231 - INFO - Train: [68/200][2/2]	eta 0:00:03	loss 0.0355	
2025-07-11 14:21:27,244 - INFO - Train: [69/200][1/2]	eta 0:00:03	loss 0.0368	
2025-07-11 14:21:27,251 - INFO - Train: [69/200][2/2]	eta 0:00:03	loss 0.0209	
2025-07-11 14:21:27,264 - INFO - Train: [70/200][1/2]	eta 0:00:03	loss 0.0364	
2025-07-11 14:21:27,271 - INFO - Train: [70/200][2/2]	eta 0:00:03	loss 0.0188	
2025-07-11 14:21:27,284 - INFO - Train: [71/200][1/2]	eta 0:00:03	loss 0.0365	
2025-07-11 14:21:27,289 - INFO - Train: [71/200][2/2]	eta 0:00:03	loss 0.0105	
2025-07-11 14:21:27,299 - INFO - Train: [72/200][1/2]	eta 0:00:03	loss 0.0365	
2025-07-11 14:21:27,304 - INFO - Train: [72/200][2/2]	eta 0:00:03	loss 0.0158	
2025-07-11 14:21:27,314 - INFO - Train: [73/200][1/2]	eta 0:00:03	loss 0.0374	
2025-07-11 14:21:27,320 - INFO - Train: [73/200][2/2]	eta 0:00:03	loss 0.0130	
2025-07-11 14:21:27,330 - INFO - Train: [74/200][1/2]	eta 0:00:03	loss 0.0383	
2025-07-11 14:21:27,337 - INFO - Train: [74/200][2/2]	eta 0:00:03	loss 0.0096	
2025-07-11 14:21:27,349 - INFO - Train: [75/200][1/2]	eta 0:00:03	loss 0.0379	
2025-07-11 14:21:27,358 - INFO - Train: [75/200][2/2]	eta 0:00:03	loss 0.0330	
2025-07-11 14:21:27,371 - INFO - Train: [76/200][1/2]	eta 0:00:03	loss 0.0375	
2025-07-11 14:21:27,379 - INFO - Train: [76/200][2/2]	eta 0:00:03	loss 0.0362	
2025-07-11 14:21:27,391 - INFO - Train: [77/200][1/2]	eta 0:00:03	loss 0.0334	
2025-07-11 14:21:27,400 - INFO - Train: [77/200][2/2]	eta 0:00:03	loss 0.1288	
2025-07-11 14:21:27,412 - INFO - Train: [78/200][1/2]	eta 0:00:03	loss 0.0361	
2025-07-11 14:21:27,421 - INFO - Train: [78/200][2/2]	eta 0:00:03	loss 0.0137	
2025-07-11 14:21:27,433 - INFO - Train: [79/200][1/2]	eta 0:00:03	loss 0.0376	
2025-07-11 14:21:27,441 - INFO - Train: [79/200][2/2]	eta 0:00:03	loss 0.0014	
2025-07-11 14:21:27,454 - INFO - Train: [80/200][1/2]	eta 0:00:03	loss 0.0374	
2025-07-11 14:21:27,462 - INFO - Train: [80/200][2/2]	eta 0:00:03	loss 0.0844	
2025-07-11 14:21:27,472 - INFO - Train: [81/200][1/2]	eta 0:00:03	loss 0.0400	
2025-07-11 14:21:27,480 - INFO - Train: [81/200][2/2]	eta 0:00:03	loss 0.0146	
2025-07-11 14:21:27,493 - INFO - Train: [82/200][1/2]	eta 0:00:03	loss 0.0366	
2025-07-11 14:21:27,501 - INFO - Train: [82/200][2/2]	eta 0:00:03	loss 0.0760	
2025-07-11 14:21:27,514 - INFO - Train: [83/200][1/2]	eta 0:00:03	loss 0.0337	
2025-07-11 14:21:27,521 - INFO - Train: [83/200][2/2]	eta 0:00:03	loss 0.1212	
2025-07-11 14:21:27,534 - INFO - Train: [84/200][1/2]	eta 0:00:03	loss 0.0361	
2025-07-11 14:21:27,542 - INFO - Train: [84/200][2/2]	eta 0:00:03	loss 0.0149	
2025-07-11 14:21:27,555 - INFO - Train: [85/200][1/2]	eta 0:00:03	loss 0.0333	
2025-07-11 14:21:27,563 - INFO - Train: [85/200][2/2]	eta 0:00:03	loss 0.1187	
2025-07-11 14:21:27,575 - INFO - Train: [86/200][1/2]	eta 0:00:02	loss 0.0352	
2025-07-11 14:21:27,583 - INFO - Train: [86/200][2/2]	eta 0:00:02	loss 0.0470	
2025-07-11 14:21:27,604 - INFO - Train: [87/200][1/2]	eta 0:00:02	loss 0.0359	
